"subject","musicality","trial","session","deviation"
0,0.24326327531919587,4,0,0.021496598639454856
0,0.24326327531919587,23,0,0.048707482993190165
0,0.24326327531919587,25,1,0.06272108843537749
0,0.24326327531919587,36,1,0.11632653061226561
0,0.24326327531919587,49,2,0.04684807256236523
0,0.24326327531919587,72,2,0.039501133786838505
0,0.24326327531919587,88,3,0.09995464852587643
0,0.24326327531919587,120,4,0.045124716553313515
1,0.20992994198586254,21,0,0.06453514739231592
1,0.20992994198586254,67,2,0.0328344671201779
1,0.20992994198586254,102,4,-0.07056689342406175
2,-0.5231698646336793,11,0,-0.06426303854874904
2,-0.5231698646336793,67,2,-0.08979591836740441
2,-0.5231698646336793,104,4,-0.16811791383228014
2,-0.5231698646336793,139,5,-0.060453514739070346
3,1.4427962218916128,29,1,-0.06684807256235503
3,1.4427962218916128,99,4,-0.051337868480719084
3,1.4427962218916128,110,4,-0.06517006802736036
3,1.4427962218916128,131,5,-0.027619047618860026
3,1.4427962218916128,139,5,-0.04607709750556355
4,0.00992994198586252,4,0,-0.026303854875284305
4,0.00992994198586252,75,3,0.07097505668931658
4,0.00992994198586252,96,3,-0.001224489795764061
4,0.00992994198586252,104,4,-0.07541950113389762
4,0.00992994198586252,117,4,-0.006031746031599727
5,0.04326327531919585,4,0,-0.05773242630386166
5,0.04326327531919585,81,3,0.05619047619049011
5,0.04326327531919585,87,3,0.09260770975057708
5,0.04326327531919585,122,4,-0.060770975056616994
5,0.04326327531919585,130,5,-0.012108843537394609
5,0.04326327531919585,131,5,0.0644444444444292
6,-0.8896030045865544,42,1,0.05569160997728373
6,-0.8896030045865544,46,1,0.12253968253966319
6,-0.8896030045865544,105,4,0.011473922902463851
7,0.5430297486054043,29,1,-0.02825396825395332
7,0.5430297486054043,35,1,-0.03328798185944892
7,0.5430297486054043,74,3,-0.011609977324301912
7,0.5430297486054043,110,4,0.061768707482964924
7,0.5430297486054043,129,5,0.027165532879702692
7,0.5430297486054043,138,5,0.07764172335597719
7,0.5430297486054043,143,5,0.0577324263037684
8,-0.9229363379198877,29,1,-0.03356009070293853
8,-0.9229363379198877,82,3,-0.021541950113519892
9,-0.1231698646336793,5,0,-0.022947845804982325
9,-0.1231698646336793,6,0,0.15106575963718738
9,-0.1231698646336793,34,1,0.20081632653059556
9,-0.1231698646336793,79,3,-0.17523809523803324
9,-0.1231698646336793,102,4,0.0023582766438852154
9,-0.1231698646336793,110,4,0.05628117913826314
9,-0.1231698646336793,149,5,0.1309750566894894
10,-0.023403391347470826,6,0,0.08099773242630759
10,-0.023403391347470826,29,1,0.028027210884342235
10,-0.023403391347470826,79,3,0.08480725623595786
10,-0.023403391347470826,99,4,0.06693877551034744
10,-0.023403391347470826,118,4,0.0079365079365874
10,-0.023403391347470826,148,5,0.06757369614498598
11,-0.9562696712532212,14,0,-0.18693877551018945
11,-0.9562696712532212,49,2,-0.10489795918366385
11,-0.9562696712532212,58,2,-0.0010430839002180115
11,-0.9562696712532212,109,4,0.5907482993197521
12,0.17659660865252916,35,1,-0.07360544217690235
12,0.17659660865252916,36,1,-0.05160997732426553
12,0.17659660865252916,39,1,-0.07451247165525787
12,0.17659660865252916,55,2,-0.047709750566842235
12,0.17659660865252916,65,2,-0.03052154195009793
12,0.17659660865252916,103,4,-0.07337868480729925
13,-0.9562696712532212,14,0,0.06439909297054269
13,-0.9562696712532212,67,2,0.15523809523810028
13,-0.9562696712532212,82,3,0.06430839002265598
13,-0.9562696712532212,104,4,0.16176870748287397
13,-0.9562696712532212,118,4,0.14335600907039803
13,-0.9562696712532212,128,5,0.19668934240345548
13,-0.9562696712532212,136,5,0.21736961451253078
14,-0.9562696712532212,0,0,-0.03718820861677985
14,-0.9562696712532212,32,1,0.0019047619047358744
14,-0.9562696712532212,42,1,0.08997732426299931
14,-0.9562696712532212,124,5,0.03419501133791014
14,-0.9562696712532212,128,5,-0.06426303854872062
15,2.5089958351306962,4,0,-0.011700680272103359
15,2.5089958351306962,38,1,-0.026394557823128384
15,2.5089958351306962,41,1,-0.009705215419590463
15,2.5089958351306962,74,3,-0.04521541950115138
15,2.5089958351306962,105,4,-0.030884353741644777
16,1.709229361844488,0,0,0.1419501133786869
16,1.709229361844488,14,0,0.12417233560091345
16,1.709229361844488,53,2,0.07337868480723442
16,1.709229361844488,118,4,0.1254421768707874
16,1.709229361844488,120,4,0.11210884353723882
16,1.709229361844488,131,5,0.12557823129256063
17,-0.8896030045865544,31,1,0.41238095238096717
17,-0.8896030045865544,39,1,0.2795464852608478
17,-0.8896030045865544,41,1,0.43224489795917576
17,-0.8896030045865544,104,4,0.15374149659848113
17,-0.8896030045865544,117,4,0.320498866213224
18,0.10992994198586252,65,2,0.08195011337872016
18,0.10992994198586252,113,4,0.20598639455780754
19,-0.7562696712532211,0,0,-0.010158730158729146
19,-0.7562696712532211,42,1,0.12081632653061147
19,-0.7562696712532211,58,2,0.06702947845800677
19,-0.7562696712532211,118,4,0.057959183673542025
