"","beta1.1","beta1.2","beta1.3","beta1.4","beta2.1","beta2.2","beta2.3","beta2.4","beta3","v0.01","v0.02","v0.03","v0.04","v0.05","v0.06","v0.07","v0.08","v0.09","v0.1","v0.11","v0.12","v0.13","v0.14","v0.15","v0.16","v0.17","v0.18","v0.19","v0.2","v1.01","v1.02","v1.03","v1.04","v1.05","v1.06","v1.07","v1.08","v1.09","v1.1","v1.11","v1.12","v1.13","v1.14","v1.15","v1.16","v1.17","v1.18","v1.19","v1.2","v1.21","v1.22","v1.23","v1.24","v1.25","v1.26","v1.27","v1.28","v1.29","v1.3","v1.31","v1.32","v1.33","v1.34","v1.35","v1.36","v1.37","v1.38","v1.39","v1.4","v1.41","v1.42","v1.43","v1.44","v1.45","v1.46","v1.47","v1.48","v1.49","v1.5","v1.51","v1.52","v1.53","v1.54","v1.55","v1.56","v1.57","v1.58","v1.59","v1.6","v1.61","v1.62","v1.63","v1.64","v1.65","v1.66","v1.67","v1.68","v1.69","v1.7","v1.71","v1.72","v1.73","v1.74","v1.75","v1.76","v1.77","v1.78","v1.79","v1.8","session_ID","trial_ID"
1,-0.61574582614515,0.120507570429405,0.48394673273162,-0.144849068149263,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.61574582614515,0.120507570429405,0.48394673273162,-0.144849068149263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,-0.0612809320547148,-0.223507842019818,-0.0696230236223331,0.621837334112968,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0612809320547148,-0.223507842019818,-0.0696230236223331,0.621837334112968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1,-0.388613234554911,-0.283649729233012,-0.336459574123228,0.703300152763464,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.388613234554911,-0.283649729233012,-0.336459574123228,0.703300152763464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,-0.276490064406424,0.0495340936407096,-0.24213227053995,-0.848136636695768,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.276490064406424,0.0495340936407096,-0.24213227053995,-0.848136636695768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
1,-0.178549786416577,-0.0462248302302558,-0.144313483471473,-0.326284841738887,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178549786416577,-0.0462248302302558,-0.144313483471473,-0.326284841738887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1,-0.0681029461051271,-0.118898076395469,-0.797635274914363,0.615052245285256,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0681029461051271,-0.118898076395469,-0.797635274914363,0.615052245285256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1,0.0567273580100617,-0.0214975486444508,0.28560398604314,-0.385375973613884,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567273580100617,-0.0214975486444508,0.28560398604314,-0.385375973613884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
1,-0.534437793641282,0.22124049433158,0.0178745667157521,0.327626449101916,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.534437793641282,0.22124049433158,0.0178745667157521,0.327626449101916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
1,-0.640410092060589,-0.225609644002109,-0.437109907072293,0.473444948928088,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.640410092060589,-0.225609644002109,-0.437109907072293,0.473444948928088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
1,0.738458179531557,0.16681799501432,-0.399766209517011,0.534425770007813,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738458179531557,0.16681799501432,-0.399766209517011,0.534425770007813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
